cust_no,shouxin_date,fpd4,if_t4,istrans,basic_lr_score,k3dq_jst_re_score,k3dq_basic_mix_score,k3dq_xgb_add_score,k3dq_bc1_score,k3dq_bc2_score,k3dq_v2new_score,k3dq_xgblr_score,k3dq_xgbkmos_score,k3dq_xgbkmos_flag,k3dq_v3m3k11_score,k3dq_transkmos_score,ali_rain_score,bj_jc_m36_consume_cnt,credit_repayment_score_bj_2,td_xyf_dq_score,td_zhixin_score,hds_36m_purchase_steady,hds_36m_total_purchase_cnt,hds_36m_month_max_purchase_money_excp_doub11_12,hds_36m_doub11_12_total_purchase_money,hds_phone_rich_rank,hds_mobile_rich,hds_mobile_reli_rank,hds_recent_consumme_active_rank,ab_local_ratio,ab_mobile_cnt,app_type,cust_gender,cust_id_area,cust_work_city,idcard_district_grade,idcard_rural_flag,immediate_relation_cnt,operation_sys,relation_contact_cnt,study_app_cnt,selffill_degree,selffill_is_have_creditcard,selffill_marital_status,ab_local_cnt,ab_prov_cnt,hds_mobile_reli_rank_Ma,hds_mobile_reli_rank_Mb,hds_mobile_reli_rank_M0,is_ios,is_male,shouxin_month,data_parts,set
160051976281,2020-03-06,0,1,1,,,,,,,,,,,,,73.2,,609.0,5.7,677.0,,,,,,0.0,M0,,0.95,141.0,ios,女,610628.0,610000.0,,,5.0,iOS,7.0,0.0,30.0,1.0,10.0,135.0,5.0,0,0,1,1.0,0.0,2020-03,2.0,1train
160052985364,2020-04-01,0,1,1,,,,,,,,,,,,,81.82,2.0,497.0,4.1000000000000005,771.0,1.0,3.0,4.9,0.0,1.0,0.0,Mb,1.0,0.88,8.0,android,男,130930.0,130930.0,4.0,0.0,6.0,android,7.0,0.0,5.0,0.0,20.0,7.0,2.0,0,1,0,0.0,1.0,2020-04,2.0,1train
160054440344,2020-05-04,0,1,1,,,,,,,,,,,,,37.52,15.0,658.0,14.6,583.0,1.0858510111467998,17.0,302.55,0.0,1.0,0.0,Ma,2.0,0.89,9.0,android,女,522425.0,520524.0,,,1.0,android,1.0,0.0,5.0,0.0,20.0,8.0,2.0,1,0,0,0.0,0.0,2020-05,1.0,1train
160054458428,2020-05-16,0,1,1,,,,,,,,,,,,,93.12,4.0,473.0,13.4,525.0,0.9380938420993976,3.0,69.9,0.0,2.0,1.0,Mb,1.0,0.53,32.0,android,男,522501.0,330421.0,,,4.0,android,7.0,1.0,5.0,1.0,10.0,18.0,3.0,0,1,0,0.0,1.0,2020-05,2.0,1train
160054703921,2020-05-09,0,1,1,,,,,,,,,,,,,89.43,,476.0,30.900000000000002,541.0,,,,,,0.0,M0,,0.82,103.0,android,男,130481.0,130481.0,1.0,1.0,9.0,android,13.0,1.0,15.0,0.0,20.0,92.0,7.0,0,0,1,0.0,1.0,2020-05,1.0,1train
160055052059,2020-05-19,0,1,1,,,,,,,,,,,,,70.35,4.0,493.0,30.0,600.0,0.7100746630466401,19.0,176.36,0.0,1.0,0.0,Ma,5.0,1.0,9.0,android,男,430621.0,410100.0,1.0,1.0,1.0,android,1.0,0.0,5.0,0.0,20.0,9.0,1.0,1,0,0,0.0,1.0,2020-05,1.0,1train
160055867987,2020-06-10,0,1,1,,,,,,,,,,,,,85.18,17.0,527.0,9.4,568.0,1.5621267107836494,26.0,594.8,53.0,,2.0,Ma,2.0,0.21,13.0,android,男,513029.0,441900.0,,,2.0,android,4.0,1.0,10.0,0.0,10.0,3.0,3.0,1,0,0,0.0,1.0,2020-06,2.0,1train
160056337319,2020-06-19,0,1,1,,,,,,,,,,,,,90.07,3.0,554.0,26.3,553.0,0.4411764705882353,2.0,49.0,0.0,1.0,0.0,Ma,1.0,0.75,185.0,ios,男,362322.0,330103.0,4.0,1.0,6.0,iOS,9.0,0.0,15.0,0.0,10.0,140.0,7.0,1,0,0,1.0,1.0,2020-06,2.0,1train
160057135913,2020-07-05,0,1,1,,,,,,,,,,,,,51.42,18.0,502.0,11.4,655.0,0.5589896271081702,42.0,134.0,32.0,2.0,1.0,Mb,1.0,0.83,258.0,ios,男,331081.0,331081.0,3.0,1.0,11.0,iOS,13.0,0.0,10.0,1.0,10.0,215.0,12.0,0,1,0,1.0,1.0,2020-07,2.0,1train
160057389985,2020-07-10,0,1,1,,,,,,,,,,,,,28.32,8.0,582.0,7.4,618.0,,3.0,0.0,0.0,1.0,0.0,Ma,1.0,0.85,41.0,android,男,150103.0,150103.0,1.0,1.0,2.0,android,6.0,1.0,20.0,0.0,10.0,41.0,1.0,1,0,0,0.0,1.0,2020-07,1.0,1train
160057843969,2020-07-18,0,1,1,,,,,,,,,,,,,31.35,,670.0,3.5,701.0,,,,,,0.0,M0,,0.89,975.0,android,男,130124.0,130102.0,2.0,0.0,8.0,android,12.0,1.0,30.0,1.0,20.0,894.0,18.0,0,0,1,0.0,1.0,2020-07,1.0,1train
160058328434,2020-07-27,0,1,1,,,,,,,,,,,,,71.21,49.0,632.0,8.0,585.0,1.06877499085342,107.0,459.1,622.1,2.0,1.0,Mb,5.0,0.17,34.0,ios,女,411481.0,130700.0,1.0,1.0,2.0,iOS,3.0,0.0,20.0,0.0,20.0,6.0,4.0,0,1,0,1.0,0.0,2020-07,1.0,1train
160058769915,2020-08-04,0,1,1,,,,,,,,,,,,,54.22,17.0,569.0,11.799999999999999,565.0,0.7900367062204691,27.0,139.8,0.0,1.0,0.0,Ma,1.0,0.89,812.0,android,男,410527.0,410102.0,1.0,1.0,10.0,android,118.0,0.0,10.0,1.0,20.0,736.0,20.0,1,0,0,0.0,1.0,2020-08,2.0,1train
160058950882,2020-08-07,0,1,1,,,,,,,,,,,,,17.41,4.0,714.0,12.5,610.0,0.6354869816779173,4.0,84.8,139.0,1.0,0.0,Ma,1.0,0.91,21.0,android,男,410223.0,410223.0,2.0,1.0,1.0,android,1.0,0.0,5.0,0.0,10.0,20.0,2.0,1,0,0,0.0,1.0,2020-08,1.0,1train
160059400658,2020-08-14,0,1,1,,,,,,,,,,,,,86.31,,544.0,15.100000000000001,661.0,,,,,,0.0,M0,,0.94,173.0,ios,男,152631.0,150927.0,1.0,0.0,12.0,iOS,19.0,0.0,30.0,0.0,20.0,165.0,5.0,0,0,1,1.0,1.0,2020-08,1.0,1train
160059701071,2020-08-20,0,1,1,,,,,,,,,,,,,47.85,,444.0,8.4,578.0,,,,,,0.0,M0,,0.63,8.0,android,男,412727.0,340123.0,4.0,0.0,2.0,android,2.0,0.0,20.0,0.0,10.0,5.0,4.0,0,0,1,0.0,1.0,2020-08,1.0,1train
160060707649,2020-09-08,0,1,1,,,,,,,,,,,,,5.37,1.0,667.0,13.700000000000001,648.0,0.0,4.0,69.0,0.0,1.0,0.0,Ma,1.0,0.93,245.0,ios,男,370481.0,370481.0,1.0,1.0,6.0,iOS,8.0,0.0,15.0,0.0,20.0,230.0,7.0,1,0,0,1.0,1.0,2020-09,2.0,1train
160060962655,2020-09-13,0,1,1,-99.0,-99.0,-99.0,,-99.0,-99.0,,,,,,,68.67,4.0,555.0,13.100000000000001,583.0,0.10068443013250894,9.0,69.9,79.0,1.0,0.0,Ma,1.0,0.94,16.0,ios,男,370405.0,370405.0,3.0,1.0,2.0,iOS,2.0,0.0,15.0,0.0,20.0,15.0,2.0,1,0,0,1.0,1.0,2020-09,1.0,1train
160061038744,2020-09-14,0,1,1,-99.0,-99.0,-99.0,,-99.0,-99.0,,,,,,,94.0,4.0,648.0,2.7,662.0,,1.0,0.0,9.9,1.0,0.0,Ma,1.0,0.42,92.0,android,女,522401.0,350503.0,,,9.0,android,10.0,0.0,10.0,1.0,20.0,44.0,10.0,1,0,0,0.0,0.0,2020-09,2.0,1train
160062110554,2020-10-08,0,1,1,0.04326934390349532,0.3095,-99.0,0.07638596,0.092155,0.05338,,,,,,,67.29,,546.0,22.9,543.0,,,,,,0.0,M0,,0.56,8.0,android,男,522325.0,522325.0,,,0.0,android,0.0,1.0,5.0,1.0,20.0,5.0,2.0,0,0,1,0.0,1.0,2020-10,2.0,1train
160063247576,2020-10-25,0,1,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,91.03,1.0,598.0,8.6,720.0,0.0,1.0,30.24,0.0,1.0,0.0,Mb,1.0,0.0,48.0,android,男,522427.0,520526.0,,,0.0,android,1.0,1.0,5.0,0.0,10.0,0.0,11.0,0,1,0,0.0,1.0,2020-10,2.0,1train
160065477187,2020-11-26,0,1,1,0.015039054419199172,0.2425,-99.0,0.015256142,0.014361,0.010974,0.015707,0.0138,,,,,82.68,2.0,545.0,5.8,711.0,0.0,1.0,299.0,0.0,1.0,0.0,Ma,1.0,0.89,399.0,android,男,370502.0,370502.0,4.0,0.0,16.0,android,26.0,1.0,10.0,1.0,10.0,375.0,15.0,1,0,0,0.0,1.0,2020-11,2.0,1train
